                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4005,                 6.0322,                 2.7597,                0.13547,                 0.2046,                0.08245,                0.05157,                 1.4725,                 7.7405,                 2.8307,              0.0099618,              0.0099618,              0.0099618
                      2,                 1.6172,                 5.4854,                 2.9448,                0.17514,                0.20769,                0.09688,                0.06009,                 1.6165,                 6.3218,                 3.0614,              0.0099996,              0.0099996,              0.0099996
                      3,                 1.6717,                 5.3226,                 3.0908,                0.16268,                0.24022,                0.09705,                0.06277,                 1.5547,                 6.1268,                 3.0057,              0.0099996,              0.0099996,              0.0099996
                      4,                 1.6389,                 5.1259,                 3.0447,                0.19605,                 0.2577,                0.12913,                 0.0823,                 1.5014,                  5.032,                 2.9362,              0.0099984,              0.0099984,              0.0099984
                      5,                 1.5857,                 4.8934,                 2.9807,                 0.2302,                0.28173,                0.16414,                0.11021,                 1.3931,                 4.7967,                 2.7848,              0.0099964,              0.0099964,              0.0099964
                      6,                 1.5521,                 4.7654,                 2.9512,                0.24885,                0.24952,                0.16256,                0.10881,                 1.3596,                 4.9119,                 2.7328,              0.0099937,              0.0099937,              0.0099937
                      7,                 1.5128,                  4.572,                 2.8989,                0.28054,                0.28624,                0.18689,                0.12453,                 1.3227,                 4.6256,                 2.6806,              0.0099901,              0.0099901,              0.0099901
                      8,                 1.5074,                 4.4376,                 2.8595,                 0.2749,                0.26852,                0.19294,                 0.1324,                 1.3129,                  4.545,                 2.6695,              0.0099858,              0.0099858,              0.0099858
                      9,                 1.4735,                 4.3008,                 2.8298,                0.30448,                0.26702,                0.21042,                0.14409,                 1.3411,                 4.5514,                 2.7462,              0.0099807,              0.0099807,              0.0099807
                     10,                 1.4571,                 4.1555,                   2.82,                0.30584,                0.33497,                0.23733,                0.16102,                 1.2921,                 4.3845,                 2.6562,              0.0099748,              0.0099748,              0.0099748
                     11,                 1.4176,                 3.9907,                 2.7758,                0.33398,                0.32608,                0.24226,                0.16514,                 1.2612,                 4.2472,                 2.6131,              0.0099681,              0.0099681,              0.0099681
                     12,                  1.405,                 3.9247,                 2.7494,                0.31954,                0.30745,                0.24106,                0.16743,                 1.2797,                 4.3717,                 2.6048,              0.0099606,              0.0099606,              0.0099606
                     13,                 1.3988,                 3.8556,                 2.7395,                0.29929,                0.30157,                0.22405,                0.15929,                 1.2775,                 4.3985,                 2.6407,              0.0099523,              0.0099523,              0.0099523
                     14,                 1.3848,                 3.7103,                 2.7214,                 0.3236,                 0.3509,                0.25688,                0.17914,                 1.2563,                 4.1682,                 2.6094,              0.0099433,              0.0099433,              0.0099433
                     15,                 1.3547,                 3.6027,                 2.6885,                0.34269,                 0.3532,                0.27438,                0.19211,                 1.2302,                  4.108,                 2.5493,              0.0099335,              0.0099335,              0.0099335
                     16,                 1.3598,                 3.5205,                 2.6763,                0.40125,                0.31503,                0.29448,                 0.2105,                 1.2085,                 4.1278,                 2.5381,              0.0099229,              0.0099229,              0.0099229
                     17,                 1.3454,                 3.4015,                 2.6585,                0.38527,                 0.3468,                 0.2954,                0.21201,                 1.2081,                 4.0266,                 2.5263,              0.0099115,              0.0099115,              0.0099115
                     18,                 1.3257,                 3.3234,                 2.6187,                0.36985,                0.35987,                0.29356,                0.20923,                 1.2204,                 4.1272,                 2.5673,              0.0098993,              0.0098993,              0.0098993
                     19,                 1.3114,                 3.2299,                 2.6266,                0.49579,                0.32198,                0.32683,                0.23291,                 1.2149,                 3.8388,                  2.547,              0.0098864,              0.0098864,              0.0098864
                     20,                 1.2941,                 3.1711,                  2.595,                 0.3987,                0.36555,                0.32324,                0.23367,                 1.2041,                 3.8712,                  2.548,              0.0098727,              0.0098727,              0.0098727
                     21,                 1.2858,                 3.0603,                 2.5728,                0.46703,                0.35886,                0.33957,                0.24371,                 1.1978,                 3.9046,                 2.5109,              0.0098582,              0.0098582,              0.0098582
                     22,                 1.2788,                 2.9993,                 2.5781,                0.46656,                0.36893,                0.34469,                0.24917,                 1.1966,                 3.9806,                 2.5206,               0.009843,               0.009843,               0.009843
                     23,                 1.2588,                 2.9059,                 2.5602,                0.44635,                0.36501,                0.33902,                0.24338,                 1.1678,                 3.8582,                 2.4531,               0.009827,               0.009827,               0.009827
                     24,                 1.2485,                 2.8665,                 2.5515,                0.54406,                0.34742,                 0.3652,                0.26304,                 1.1502,                 3.8185,                 2.4707,              0.0098102,              0.0098102,              0.0098102
                     25,                 1.2315,                 2.7254,                 2.5159,                0.46524,                0.41049,                0.38164,                0.27893,                 1.1529,                 3.7001,                  2.468,              0.0097927,              0.0097927,              0.0097927
